,use [kW],gen [kW],House overall [kW],Dishwasher [kW],Furnace 1 [kW],Furnace 2 [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Solar [kW],temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,windBearing,precipIntensity,dewPoint,precipProbability
count,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0,503910.0
mean,0.8589623950050768,0.0762294156384761,0.8589623950050768,0.03136752497494595,0.09921030012005404,0.13677917806898893,0.08128689242566126,0.06355641007374108,0.04213665003761657,0.014139126662477542,0.002755350128230328,0.007023104771779782,9.377414617711863e-06,0.05852956618395682,0.015642007207466918,0.010982993427659423,0.035312807279507565,0.0762294156384761,50.74193461135845,0.6640850350260986,9.253444265841548,48.2633820325057,1016.3016253698299,6.649935544047892,202.35684348395546,0.00259807267170752,38.694012502234244,0.05645313647277238
std,1.0582073579479323,0.12842769782719785,1.0582073579479323,0.19095124458711707,0.16905928366415926,0.17863137658422226,0.10446620851207578,0.07619863510174406,0.05796717831000647,0.014291903324730909,0.021859547110182447,0.07673955965103943,9.978385610896348e-06,0.20270630268407208,0.13784126553772555,0.09885878888662492,0.09605637833185926,0.12842769782719785,19.113807490613205,0.1943886014825632,1.611186472772785,22.02791601743212,7.895184729796653,3.9827159153093845,106.52047370185936,0.011256805567147454,19.08793898686932,0.16583623676315773
min,0.0,0.0,0.0,0.0,1.67e-05,6.670000000000001e-05,8.329999999999999e-05,6.670000000000001e-05,1.67e-05,1.67e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.64,0.13,0.27,-32.08,986.4,0.0,0.0,0.0,-27.24,0.0
25%,0.367666667,0.0033666670000000003,0.367666667,0.0,0.020233333,0.0644,0.040383333,0.005083333,0.007133333,0.012733333000000001,0.0005,1.67e-05,0.0,0.029833332999999997,0.000983333,0.003616667,0.0014833329999999999,0.0033666670000000003,35.77,0.51,9.42,31.09,1011.29,3.66,148.0,0.0,24.6,0.0
50%,0.562333333,0.004283333,0.562333333,1.67e-05,0.020616666999999998,0.066633333,0.042216667,0.005433333,0.008083333,0.012933333,0.000666667,5e-05,1.67e-05,0.031316667,0.001,0.004,0.001616667,0.004283333,50.32,0.68,10.0,50.32,1016.53,5.93,208.0,0.0,39.03,0.0
75%,0.97025,0.08391666699999999,0.97025,0.00023333299999999998,0.068733333,0.080633333,0.068283333,0.12541666699999998,0.05319166675,0.0131,0.00075,0.000166667,1.67e-05,0.032883333,0.001016667,0.004066667,0.00175,0.08391666699999999,66.26,0.84,10.0,66.26,1021.48,8.94,295.0,0.0,54.79,0.0
max,14.71456667,0.613883333,14.71456667,1.401766667,1.934083333,0.794933333,0.97175,0.851266667,1.273933333,1.088983333,1.166583333,2.2625833330000003,0.000183333,7.0279,1.633016667,1.9298,0.46521666700000003,0.613883333,93.72,0.98,10.0,101.12,1042.46,22.91,359.0,0.191,75.49,0.84
