,광역시도,시도,20-39세남자,20-39세여자,20-39세합계,65세이상남자,65세이상여자,65세이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역
79,경상남도,성산구,37364.0,32213.0,69577.0,5726.0,7817.0,13543.0,118468.0,113103.0,231571.0,4.757143911984051,False
80,경상남도,양산시,45646.0,42205.0,87851.0,14846.0,20285.0,35131.0,159503.0,157534.0,317037.0,2.402721243346332,False
81,경상남도,의령군,2438.0,2069.0,4507.0,3439.0,6011.0,9450.0,13562.0,14549.0,28111.0,0.4378835978835979,True
82,경상남도,의창구,39242.0,33514.0,72756.0,10712.0,14134.0,24846.0,128719.0,123716.0,252435.0,2.697738066489576,False
83,경상남도,진주시,47262.0,42443.0,89705.0,19739.0,29579.0,49318.0,171855.0,174884.0,346739.0,1.7211971288373413,False
84,경상남도,진해구,27855.0,24315.0,52170.0,9119.0,12448.0,21567.0,95701.0,91612.0,187313.0,2.2548337738211157,False
85,경상남도,창녕군,6881.0,5291.0,12172.0,6540.0,10609.0,17149.0,31735.0,32247.0,63982.0,0.6170622193713919,True
86,경상남도,창원시,159146.0,137145.0,296291.0,49915.0,67293.0,117208.0,540073.0,523834.0,1063907.0,2.340198621254522,False
87,경상남도,통영시,17719.0,15478.0,33197.0,8671.0,12224.0,20895.0,69769.0,68391.0,138160.0,1.4815027518545107,False
88,경상남도,하동군,4795.0,3779.0,8574.0,5523.0,8991.0,14514.0,24463.0,25159.0,49622.0,0.5207385972164806,True
89,경상남도,함안군,7735.0,6747.0,14482.0,5500.0,8464.0,13964.0,34819.0,34118.0,68937.0,0.9663420223431681,True
90,경상남도,함양군,3498.0,3022.0,6520.0,4538.0,7736.0,12274.0,19244.0,20997.0,40241.0,0.4924230079843572,True
91,경상남도,합천군,3998.0,3180.0,7178.0,6212.0,10760.0,16972.0,22825.0,25201.0,48026.0,0.37473485741220836,True
92,경상북도,경산시,38601.0,33298.0,71899.0,15115.0,21260.0,36375.0,130060.0,127977.0,258037.0,1.8308178694158075,False
93,경상북도,경주시,32210.0,26564.0,58774.0,19611.0,29178.0,48789.0,129944.0,129508.0,259452.0,1.088933981020312,False
94,경상북도,고령군,3452.0,2789.0,6241.0,3598.0,5291.0,8889.0,17485.0,16772.0,34257.0,0.6275171560355496,True
95,경상북도,구미시,70930.0,63332.0,134262.0,12726.0,18828.0,31554.0,214600.0,205291.0,419891.0,4.014197882994232,False
96,경상북도,군위군,2012.0,1566.0,3578.0,3606.0,5064.0,8670.0,12156.0,12015.0,24171.0,0.3612456747404844,True
97,경상북도,김천시,18007.0,15254.0,33261.0,11409.0,17079.0,28488.0,71201.0,71055.0,142256.0,1.070907048581859,False
98,경상북도,남구,34568.0,28472.0,63040.0,13830.0,17685.0,31515.0,125811.0,118937.0,244748.0,1.8068856100269712,False
99,경상북도,문경시,7540.0,6467.0,14007.0,7656.0,11629.0,19285.0,36537.0,38165.0,74702.0,0.6706766917293233,True
100,경상북도,봉화군,2851.0,2271.0,5122.0,4400.0,6306.0,10706.0,16667.0,16872.0,33539.0,0.4242480851858771,True
101,경상북도,북구,36045.0,31791.0,67836.0,15528.0,21253.0,36781.0,135294.0,136733.0,272027.0,1.72866425600174,False
102,경상북도,상주시,10036.0,8158.0,18194.0,10876.0,16893.0,27769.0,49824.0,51975.0,101799.0,0.5875616694875581,True
